work_year,job_title,salary_in_usd,company_size
2024,Applied Scientist,135900,M
2024,BI Developer,47500,M
2024,BI Developer,43750,M
2024,Research Engineer,282000,M
2024,Research Engineer,171000,M
2024,Applied Scientist,260000,L
2024,Applied Scientist,136000,L
2024,Data Engineer,152800,M
2024,Data Engineer,149282,M
2024,Machine Learning Engineer,264500,M
2024,Machine Learning Engineer,165600,M
2024,Data Scientist,228000,M
2024,Data Scientist,134000,M
2024,Data Engineer,86666,M
2024,Data Engineer,60000,M
2024,Applied Scientist,199500,M
2024,Applied Scientist,97400,M
2024,Data Engineer,155000,M
2024,Data Engineer,139500,M
2024,Data Engineer,140000,M
2024,Data Engineer,100000,M
2024,Data Engineer,205000,M
2024,Data Engineer,155000,M
2024,Data Analyst,110000,M
2024,Data Analyst,90000,M
2024,Data Analyst,83300,M
2024,Data Analyst,47500,M
2024,Data Scientist,208500,M
2024,Data Scientist,174000,M
2024,Data Engineer,170000,M
2024,Data Engineer,130000,M
2024,Data Science Manager,240000,M
2024,Data Science Manager,180000,M
2024,Data Engineer,90000,M
2024,Data Engineer,70000,M
2024,Business Intelligence Analyst,138000,M
2024,Business Intelligence Analyst,110400,M
2024,Data Scientist,239000,M
2024,Data Scientist,159000,M
2024,Data Engineer,145000,M
2024,Data Engineer,115000,M
2024,Data Engineer,185000,M
2024,Data Engineer,160000,M
2024,Applied Scientist,210000,M
2024,Applied Scientist,160000,M
2024,Data Science,128750,M
2024,Data Science,61875,M
2024,Machine Learning Engineer,240000,M
2024,Machine Learning Engineer,178000,M
2024,Research Analyst,91200,M
2024,Research Analyst,58200,M
2024,Data Engineer,122000,M
2024,Data Engineer,94500,M
2024,Data Analyst,152300,M
2024,Data Analyst,76200,M
2024,Machine Learning Engineer,336000,M
2024,Machine Learning Engineer,304000,M
2024,Data Analyst,70000,M
2024,Data Analyst,51000,M
2024,Machine Learning Engineer,223000,M
2024,Machine Learning Engineer,185000,M
2024,Data Engineer,155000,M
2024,Data Engineer,120000,M
2024,Data Infrastructure Engineer,245900,M
2024,Data Infrastructure Engineer,139000,M
2024,Admin & Data Analyst,95000,M
2024,Data Scientist,213000,M
2024,Data Scientist,120700,M
2024,Data Engineer,128000,M
2024,Data Engineer,81500,M
2024,Data Science,46000,M
2024,Data Science,40000,M
2024,Insight Analyst,75000,M
2024,Insight Analyst,68750,M
2024,Business Intelligence,176627,M
2024,Business Intelligence,106029,M
2024,Data Architect,193000,M
2024,Data Architect,84600,M
2024,Business Intelligence,94250,M
2024,Business Intelligence,65000,M
2024,Data Analyst,148017,M
2024,Data Analyst,87069,M
2024,Data Science,135800,M
2024,Data Science,95100,M
2024,Data Engineer,175000,M
2024,Data Engineer,117000,M
2024,Data Architect,234000,M
2024,Data Architect,146000,M
2024,Data Analyst,120000,M
2024,Data Analyst,105000,M
2024,Data Analyst,43500,M
2024,Data Analyst,41000,M
2024,Data Engineer,234000,M
2024,Data Engineer,117000,M
2024,ML Engineer,211888,M
2024,ML Engineer,154100,M
2024,Data Analyst,185100,M
2024,Data Analyst,148500,M
2024,Data Analyst,147000,M
2024,Data Analyst,92000,M
2024,Analytics Engineer,148500,M
2024,Analytics Engineer,117000,M
2024,Data Analyst,130000,M
2024,Data Analyst,100000,M
2024,ML Engineer,203000,M
2024,ML Engineer,135000,M
2024,Consultant Data Engineer,50000,M
2024,Data Scientist,322100,M
2024,Data Scientist,173400,M
2024,Business Intelligence Analyst,158900,M
2024,Business Intelligence Analyst,132400,M
2024,Machine Learning Engineer,370000,M
2024,Machine Learning Engineer,220000,M
2024,Analytics Engineer,180000,M
2024,Analytics Engineer,140000,M
2024,Data Engineer,247300,M
2024,Data Engineer,139800,M
2024,Data Scientist,213000,M
2024,Data Scientist,120700,M
2024,Data Engineer,172000,M
2024,Data Engineer,141000,M
2024,Business Intelligence Manager,140000,M
2024,Business Intelligence Manager,100000,M
2024,Data Analyst,100000,M
2024,Data Analyst,90000,M
2024,Data Engineer,135000,M
2024,Data Engineer,115000,M
2024,Data Engineer,130000,M
2024,Data Engineer,100000,M
2024,Data Scientist,240901,M
2024,Data Scientist,168630,M
2024,Data Analyst,100000,M
2024,Data Analyst,90000,M
2024,Head of Data,312300,M
2024,Head of Data,269000,M
2024,Data Engineer,273600,M
2024,Data Engineer,182400,M
2024,Data Architect,184000,M
